# x,y,psi,v_target -- minimum-time racing line exported by tuner.raceline_optimizer from a cone_recorder map.
# source_map=/home/Formula-Student-Driverless-Simulator/cone_map.json
# centreline_lap_time_s=38.372 raceline_lap_time_s=36.966 improvement_pct=3.66
x,y,psi,v_target
28.0115,79.4157,-2.65508,8.9387
27.6235,79.1999,-2.61211,8.6645
27.2499,78.9700,-2.56690,8.3901
26.8926,78.7265,-2.51930,8.1109
26.5531,78.4701,-2.46910,7.8244
26.2330,78.2013,-2.41597,7.5332
25.9333,77.9204,-2.35955,7.3150
25.6538,77.6260,-2.30147,7.2835
25.3921,77.3164,-2.24483,7.4016
25.1468,76.9914,-2.19022,7.5229
24.9182,76.6517,-2.13659,7.5961
24.7066,76.2982,-2.08343,7.6448
24.5129,75.9317,-2.03051,7.6824
24.3378,75.5532,-1.97774,7.7137
24.1820,75.1638,-1.92507,7.7362
24.0462,74.7649,-1.87238,7.7533
23.9311,74.3575,-1.81967,7.7927
23.8372,73.9424,-1.76751,7.8737
23.7643,73.5205,-1.71637,7.9749
23.7127,73.0931,-1.66624,8.0746
23.6821,72.6616,-1.61708,8.1711
23.6726,72.2273,-1.56885,8.2650
23.6838,71.7915,-1.52151,8.3568
23.7156,71.3552,-1.47504,8.4462
23.7675,70.9198,-1.42941,8.5328
23.8393,70.4863,-1.38460,8.6161
23.9303,70.0558,-1.34056,8.6958
24.0402,69.6291,-1.29724,8.7713
24.1684,69.2073,-1.25462,8.8416
24.3143,68.7911,-1.21263,8.9041
24.4775,68.3814,-1.17118,8.9529
24.6573,67.9790,-1.13012,8.9772
24.8533,67.5846,-1.08916,8.9720
25.0652,67.1987,-1.04806,8.9834
25.2928,66.8218,-1.00733,9.0699
25.5359,66.4536,-0.96769,9.2151
25.7939,66.0942,-0.92928,9.3785
26.0661,65.7438,-0.89212,9.5545
26.3519,65.4023,-0.85624,9.7474
26.6507,65.0699,-0.82169,9.9614
26.9617,64.7466,-0.78855,10.1998
27.2842,64.4323,-0.75688,10.4655
27.6176,64.1271,-0.72675,10.7799
27.9610,63.8306,-0.69823,11.2736
28.3137,63.5429,-0.67134,11.7481
28.6748,63.2635,-0.64614,12.2056
29.0438,62.9923,-0.62265,12.6478
29.4198,62.7287,-0.60086,13.0762
29.8021,62.4725,-0.58075,13.4920
30.1902,62.2231,-0.56236,13.8962
30.5834,61.9801,-0.54586,14.2898
30.9811,61.7427,-0.53144,14.6736
31.3826,61.5103,-0.51906,15.0482
31.7873,61.2821,-0.50869,15.3972
32.1946,61.0575,-0.50033,15.1843
32.6038,60.8357,-0.49397,14.9682
33.0146,60.6159,-0.48961,14.7487
33.4262,60.3975,-0.48727,14.5258
33.8383,60.1795,-0.48695,14.2995
34.2501,59.9612,-0.48867,14.0694
34.6613,59.7419,-0.49243,13.8356
35.0712,59.5207,-0.49826,13.5979
35.4793,59.2969,-0.50617,13.3562
35.8850,59.0696,-0.51615,13.1102
36.2876,58.8382,-0.52824,12.8599
36.6865,58.6019,-0.54242,12.6050
37.0810,58.3600,-0.55871,12.3453
37.4703,58.1119,-0.57710,12.0807
37.8537,57.8569,-0.59758,11.8109
38.2304,57.5946,-0.62013,11.5356
38.5994,57.3244,-0.64474,11.2547
38.9600,57.0460,-0.67135,10.9677
39.3112,56.7589,-0.69992,10.6742
39.6522,56.4630,-0.73040,10.3739
39.9821,56.1580,-0.76270,10.0664
40.3002,55.8438,-0.79675,9.7943
40.6055,55.5203,-0.83244,9.5524
40.8975,55.1875,-0.86971,9.3347
41.1754,54.8452,-0.90850,9.1346
41.4387,54.4934,-0.94883,8.9626
41.6867,54.1320,-0.99045,8.8740
41.9192,53.7606,-1.03232,8.8849
42.1364,53.3792,-1.07379,8.9141
42.3379,52.9886,-1.11523,8.9035
42.5233,52.5895,-1.15701,8.8616
42.6918,52.1827,-1.19932,8.8023
42.8430,51.7689,-1.24229,8.7326
42.9760,51.3490,-1.28598,8.6555
43.0904,50.9238,-1.33047,8.5715
43.1854,50.4944,-1.37582,8.4809
43.2606,50.0619,-1.42212,8.3834
43.3153,49.6272,-1.46943,8.2790
43.3491,49.1917,-1.51786,8.1681
43.3615,48.7567,-1.56747,8.0510
43.3520,48.3235,-1.61836,7.9284
43.3204,47.8936,-1.67061,7.8009
43.2664,47.4687,-1.72429,7.6693
43.1899,47.0503,-1.77947,7.5346
43.0910,46.6403,-1.83621,7.3975
42.9697,46.2404,-1.89457,7.2589
42.8265,45.8522,-1.95460,7.1198
42.6617,45.4776,-2.01636,6.9850
42.4758,45.1179,-2.07979,6.8646
42.2692,44.7743,-2.14463,6.7610
42.0427,44.4478,-2.21078,6.6640
41.7967,44.1396,-2.27836,6.5684
41.5319,43.8507,-2.34749,6.4986
41.2483,43.5815,-2.41743,6.5024
40.9456,43.3321,-2.48646,6.5667
40.6251,43.1027,-2.55423,6.6163
40.2892,42.8951,-2.62165,6.6265
39.9407,42.7109,-2.68902,6.6168
39.5825,42.5515,-2.75636,6.5918
39.2178,42.4178,-2.82377,6.5330
38.8501,42.3105,-2.89196,6.4218
38.4827,42.2304,-2.96184,6.2719
38.1182,42.1775,-3.03392,6.1087
37.7584,42.1521,-3.10840,5.9501
37.4038,42.1538,3.09770,5.8906
37.0500,42.1832,3.02137,6.0231
36.6916,42.2398,2.94928,6.2624
36.3283,42.3237,2.88065,6.4814
35.9616,42.4348,2.81426,6.6679
35.5939,42.5731,2.74972,6.8440
35.2278,42.7380,2.68706,7.0222
34.8661,42.9287,2.62644,7.2069
34.5109,43.1439,2.56802,7.3990
34.1643,43.3821,2.51191,7.5972
33.8278,43.6416,2.45814,7.7956
33.5027,43.9209,2.40656,7.9790
33.1899,44.2183,2.35679,8.1275
32.8902,44.5326,2.30824,8.2922
32.6037,44.8636,2.26166,8.5813
32.3297,45.2106,2.21861,9.0124
32.0674,45.5722,2.17958,9.5361
31.8163,45.9470,2.14456,10.0879
31.5756,46.3333,2.11351,10.6155
31.3444,46.7294,2.08639,11.1219
31.1219,47.1339,2.06315,11.6092
30.9069,47.5450,2.04372,12.0793
30.6984,47.9616,2.02803,12.5335
30.4951,48.3820,2.01597,12.9730
30.2959,48.8051,2.00742,13.3986
30.0995,49.2297,2.00229,13.8112
29.9048,49.6546,2.00050,14.2115
29.7104,50.0789,2.00205,14.6002
29.5151,50.5014,2.00711,14.9779
29.3176,50.9213,2.01597,15.3452
29.1161,51.3377,2.02795,15.7028
28.9097,51.7505,2.04101,16.0516
28.6981,52.1601,2.05412,16.3926
28.4814,52.5665,2.06754,16.7000
28.2592,52.9698,2.08144,16.7000
28.0313,53.3699,2.09583,16.7000
27.7976,53.7667,2.11064,16.7000
27.5579,54.1600,2.12575,16.7000
27.3121,54.5498,2.14103,16.7000
27.0603,54.9360,2.15638,16.7000
26.8024,55.3185,2.17167,16.7000
26.5385,55.6972,2.18683,16.7000
26.2688,56.0721,2.20176,16.7000
25.9935,56.4432,2.21640,16.7000
25.7126,56.8105,2.23069,16.7000
25.4264,57.1740,2.24455,16.7000
25.1352,57.5338,2.25793,16.7000
24.8391,57.8898,2.27089,16.7000
24.5384,58.2421,2.28347,16.7000
24.2333,58.5908,2.29568,16.7000
23.9239,58.9359,2.30747,16.7000
23.6104,59.2776,2.31882,16.7000
23.2931,59.6158,2.32972,16.7000
22.9720,59.9507,2.34017,16.7000
22.6475,60.2823,2.35017,16.7000
22.3197,60.6109,2.35973,16.7000
21.9888,60.9365,2.36884,16.7000
21.6549,61.2591,2.37751,16.7000
21.3182,61.5790,2.38575,16.7000
20.9789,61.8963,2.39357,16.7000
20.6371,62.2110,2.40096,16.7000
20.2930,62.5234,2.40794,16.7000
19.9467,62.8334,2.41450,16.7000
19.5985,63.1413,2.42066,16.7000
19.2483,63.4471,2.42643,16.7000
18.8964,63.7510,2.43180,16.7000
18.5429,64.0531,2.43680,16.7000
18.1880,64.3536,2.44141,16.7000
17.8316,64.6525,2.44566,16.7000
17.4740,64.9500,2.44955,16.7000
17.1153,65.2461,2.45310,16.7000
16.7556,65.5411,2.45630,16.7000
16.3949,65.8350,2.45919,16.7000
16.0335,66.1280,2.46175,16.7000
15.6713,66.4200,2.46402,16.7000
15.3084,66.7113,2.46599,16.7000
14.9451,67.0020,2.46767,16.7000
14.5813,67.2921,2.46904,16.7000
14.2171,67.5818,2.47008,16.7000
13.8527,67.8711,2.47089,16.7000
13.4881,68.1602,2.47162,16.7000
13.1232,68.4490,2.47232,16.7000
12.7582,68.7376,2.47298,16.7000
12.3930,69.0259,2.47358,16.7000
12.0276,69.3140,2.47414,16.7000
11.6621,69.6019,2.47464,16.7000
11.2964,69.8897,2.47512,16.7000
10.9306,70.1773,2.47557,16.7000
10.5647,70.4647,2.47601,16.7000
10.1986,70.7519,2.47644,16.7000
9.8325,71.0390,2.47688,16.7000
9.4661,71.3260,2.47733,16.7000
9.0997,71.6127,2.47780,16.7000
8.7331,71.8993,2.47829,16.7000
8.3664,72.1857,2.47881,16.7000
7.9996,72.4720,2.47936,16.7000
7.6325,72.7580,2.47995,16.7000
7.2653,73.0437,2.48057,16.7000
6.8979,73.3293,2.48123,16.7000
6.5303,73.6146,2.48194,16.7000
6.1626,73.8996,2.48268,16.7000
5.7946,74.1843,2.48347,16.7000
5.4263,74.4688,2.48430,16.7000
5.0578,74.7529,2.48517,16.7000
4.6891,75.0367,2.48609,16.7000
4.3201,75.3202,2.48705,16.7000
3.9508,75.6033,2.48806,16.7000
3.5813,75.8860,2.48911,16.7000
3.2114,76.1683,2.49020,16.7000
2.8412,76.4502,2.49135,16.7000
2.4707,76.7316,2.49253,16.7000
2.0999,77.0127,2.49376,16.7000
1.7287,77.2932,2.49503,16.7000
1.3571,77.5733,2.49635,16.7000
0.9852,77.8528,2.49772,16.7000
0.6129,78.1319,2.49913,16.7000
0.2402,78.4104,2.50058,16.7000
-0.1329,78.6884,2.50208,16.7000
-0.5065,78.9658,2.50362,16.7000
-0.8805,79.2426,2.50521,16.7000
-1.2549,79.5188,2.50685,16.7000
-1.6298,79.7944,2.50853,16.7000
-2.0051,80.0693,2.51026,16.7000
-2.3809,80.3436,2.51205,16.7000
-2.7572,80.6172,2.51389,16.7000
-3.1341,80.8901,2.51580,16.7000
-3.5114,81.1622,2.51777,16.7000
-3.8893,81.4336,2.51982,16.6432
-4.2678,81.7042,2.52196,16.4464
-4.6469,81.9740,2.52420,16.2471
-5.0265,82.2429,2.52656,16.0454
-5.4068,82.5109,2.52907,15.8412
-5.7879,82.7779,2.53175,15.6342
-6.1696,83.0438,2.53463,15.4245
-6.5521,83.3086,2.53776,15.2119
-6.9355,83.5721,2.54119,14.9963
-7.3199,83.8343,2.54496,14.7775
-7.7052,84.0949,2.54915,14.5555
-8.0917,84.3538,2.55382,14.3300
-8.4795,84.6109,2.55906,14.1009
-8.8687,84.8657,2.56495,13.8681
-9.2595,85.1182,2.57159,13.6312
-9.6521,85.3678,2.57904,13.3902
-10.0466,85.6144,2.58735,13.1447
-10.4434,85.8576,2.59646,12.8945
-10.8425,86.0971,2.60624,12.6393
-11.2440,86.3325,2.61683,12.3789
-11.6479,86.5633,2.62934,12.1129
-12.0545,86.7882,2.64463,11.8414
-12.4641,87.0060,2.66262,11.5639
-12.8768,87.2153,2.68318,11.2803
-13.2927,87.4149,2.70628,10.9903
-13.7117,87.6036,2.73196,10.6936
-14.1336,87.7800,2.76025,10.3900
-14.5579,87.9429,2.79118,10.0791
-14.9843,88.0909,2.82476,9.7606
-15.4121,88.2229,2.86096,9.4340
-15.8407,88.3378,2.89973,9.0989
-16.2692,88.4344,2.94096,8.7948
-16.6972,88.5119,2.98451,8.5283
-17.1239,88.5697,3.03022,8.2978
-17.5488,88.6072,3.07789,8.1073
-17.9718,88.6238,3.12721,8.0050
-18.3933,88.6193,-3.10640,8.0305
-18.8139,88.5942,-3.05794,8.1131
-19.2330,88.5489,-3.01036,8.1592
-19.6491,88.4840,-2.96300,8.1580
-20.0609,88.3995,-2.91551,8.1214
-20.4671,88.2958,-2.86751,8.0382
-20.8665,88.1730,-2.81834,7.8771
-21.2577,88.0309,-2.76669,7.7019
-21.6409,87.8682,-2.71307,7.6939
-22.0182,87.6835,-2.66071,7.9031
-22.3909,87.4769,-2.61144,8.2092
-22.7587,87.2495,-2.56515,8.5330
-23.1211,87.0023,-2.52171,8.8812
-23.4772,86.7367,-2.48119,9.2766
-23.8265,86.4543,-2.44384,9.7613
-24.1687,86.1569,-2.41014,10.2995
-24.5033,85.8468,-2.37953,10.6570
-24.8295,85.5262,-2.34981,10.7328
-25.1461,85.1958,-2.31992,10.7464
-25.4528,84.8560,-2.29028,10.8596
-25.7494,84.5072,-2.26120,11.0333
-26.0360,84.1500,-2.23279,11.2227
-26.3123,83.7849,-2.20500,11.3984
-26.5786,83.4123,-2.17774,11.5441
-26.8346,83.0328,-2.15089,11.6522
-27.0803,82.6466,-2.12431,11.7199
-27.3157,82.2543,-2.09788,11.7472
-27.5405,81.8560,-2.07149,11.7361
-27.7545,81.4523,-2.04502,11.6901
-27.9577,81.0432,-2.01839,11.6134
-28.1497,80.6292,-1.99149,11.5108
-28.3302,80.2105,-1.96427,11.3873
-28.4991,79.7875,-1.93664,11.2477
-28.6559,79.3604,-1.90856,11.0964
-28.8004,78.9295,-1.87998,10.9376
-28.9323,78.4951,-1.85086,10.7747
-29.0512,78.0577,-1.82118,10.6473
-29.1568,77.6175,-1.79092,10.5368
-29.2487,77.1748,-1.76006,10.4277
-29.3267,76.7302,-1.72860,10.3211
-29.3905,76.2840,-1.69654,10.2179
-29.4397,75.8365,-1.66388,10.1186
-29.4741,75.3884,-1.63064,10.0236
-29.4934,74.9400,-1.59682,9.9328
-29.4974,74.4917,-1.56244,9.8453
-29.4859,74.0441,-1.52749,9.7599
-29.4587,73.5977,-1.49197,9.6753
-29.4155,73.1530,-1.45586,9.6048
-29.3563,72.7104,-1.41933,9.5703
-29.2808,72.2703,-1.38272,9.5613
-29.1893,71.8332,-1.34606,9.5449
-29.0818,71.3998,-1.30920,9.5109
-28.9584,70.9709,-1.27203,9.4663
-28.8192,70.5470,-1.23450,9.4158
-28.6642,70.1291,-1.19658,9.3620
-28.4935,69.7178,-1.15825,9.3065
-28.3074,69.3139,-1.11950,9.2500
-28.1059,68.9181,-1.08033,9.1933
-27.8895,68.5313,-1.04075,9.1368
-27.6583,68.1541,-1.00076,9.0812
-27.4126,67.7874,-0.96037,9.0263
