t,idx,x,y
8.1999,26,48.3199,50.1311
8.1999,27,48.2787,50.6294
8.1999,28,48.2366,51.1276
8.1999,29,48.1937,51.6258
8.1999,30,48.1497,52.1238
8.1999,31,48.1049,52.6218
8.1999,32,48.0591,53.1197
8.1999,33,48.0120,53.6175
8.1999,34,47.9642,54.1152
8.1999,35,47.9153,54.6128
8.1999,36,47.8652,55.1103
8.1999,37,47.8142,55.6077
8.1999,38,47.7618,56.1049
8.1999,39,47.7074,56.6019
8.1999,40,47.6508,57.0987
8.1999,41,47.5950,57.5697
8.1999,42,47.5723,57.7684
8.1999,43,47.5492,57.9670
8.1999,44,47.5255,58.1656
8.1999,45,47.5014,58.3642
8.1999,46,47.4767,58.5626
8.1999,47,47.4668,58.6416
9.2500,0,47.9683,54.1559
9.2500,1,47.9152,54.6530
9.2500,2,47.8621,55.1502
9.2500,3,47.8090,55.6474
9.2500,4,47.7558,56.1445
9.2500,5,47.7021,56.6416
9.2500,6,47.6478,57.1387
9.2500,7,47.5927,57.6356
9.2500,8,47.5366,58.1325
9.2500,9,47.4793,58.6292
9.2500,10,47.4206,59.1257
9.2500,11,47.3603,59.6221
9.2500,12,47.2983,60.1182
9.2500,13,47.2343,60.6141
9.2500,14,47.1681,61.1097
9.2500,15,47.0996,61.6050
9.2500,16,47.0284,62.0999
9.2500,17,46.9546,62.5944
9.2500,18,46.8779,63.0885
9.2500,19,46.7977,63.5820
9.2500,20,46.7146,64.0751
9.2500,21,46.6279,64.5675
9.2500,22,46.5371,65.0592
9.2500,23,46.4428,65.5502
9.2500,24,46.3442,66.0404
9.2500,25,46.2410,66.5296
9.2500,26,46.1340,67.0180
9.2500,27,46.0215,67.5052
9.2500,28,45.9042,67.9912
9.2500,29,45.7825,68.4762
9.2500,30,45.6537,68.9593
9.2500,31,45.5197,69.4410
9.2500,32,45.3813,69.9215
9.2500,33,45.2353,70.3997
9.2500,34,45.0840,70.8763
9.2500,35,44.9273,71.3510
9.2500,36,44.7609,71.8226
9.2500,37,44.5853,72.2907
9.2500,38,44.3993,72.7547
9.2500,39,44.2028,73.2144
9.2500,40,44.0067,73.6743
9.2500,41,43.7968,74.1280
9.2500,42,43.7095,74.3180
9.2500,43,43.6241,74.4988
9.2500,44,43.5351,74.6779
9.2500,45,43.5081,74.7323
10.2500,0,45.8862,68.2230
10.2500,1,45.7628,68.7075
10.2500,2,45.6340,69.1907
10.2500,3,45.4994,69.6722
10.2500,4,45.3587,70.1520
10.2500,5,45.2120,70.6300
10.2500,6,45.0580,71.1056
10.2500,7,44.8972,71.5791
10.2500,8,44.7298,72.0502
10.2500,9,44.5546,72.5185
10.2500,10,44.3708,72.9835
10.2500,11,44.1794,73.4453
10.2500,12,43.9798,73.9037
10.2500,13,43.7695,74.3573
10.2500,14,43.5501,74.8066
10.2500,15,43.3214,75.2512
10.2500,16,43.0810,75.6895
10.2500,17,42.8289,76.1213
10.2500,18,42.5660,76.5465
10.2500,19,42.2908,76.9639
10.2500,20,42.0008,77.3712
10.2500,21,41.6980,77.7689
10.2500,22,41.3818,78.1562
10.2500,23,41.0496,78.5298
10.2500,24,40.7015,78.8885
10.2500,25,40.3385,79.2321
10.2500,26,39.9606,79.5593
10.2500,27,39.5646,79.8644
10.2500,28,39.1528,80.1477
10.2500,29,38.7268,80.4090
10.2500,30,38.2871,80.6465
10.2500,31,37.8318,80.8530
10.2500,32,37.3644,81.0298
10.2500,33,36.8874,81.1787
10.2500,34,36.4022,81.2985
10.2500,35,35.9094,81.3826
10.2500,36,35.4129,81.4389
10.2500,37,34.9140,81.4685
10.2500,38,34.4141,81.4667
10.2500,39,33.9151,81.4391
10.2500,40,33.6054,81.4138
11.2996,0,42.0081,77.3761
11.2996,1,41.7339,77.7940
11.2996,2,41.4377,78.1963
11.2996,3,41.1177,78.5801
11.2996,4,40.7703,78.9395
11.2996,5,40.4035,79.2788
11.2996,6,40.0174,79.5961
11.2996,7,39.6098,79.8855
11.2996,8,39.1871,80.1521
11.2996,9,38.7501,80.3948
11.2996,10,38.2990,80.6103
11.2996,11,37.8371,80.8012
11.2996,12,37.3660,80.9681
11.2996,13,36.8866,81.1100
11.2996,14,36.4006,81.2268
11.2996,15,35.9096,81.3203
11.2996,16,35.4147,81.3914
11.2996,17,34.9169,81.4375
11.2996,18,34.4177,81.4611
11.2996,19,33.9177,81.4644
11.2996,20,33.4182,81.4431
11.2996,21,32.9203,81.3996
11.2996,22,32.4243,81.3370
11.2996,23,31.9318,81.2507
11.2996,24,31.4439,81.1421
11.2996,25,30.9604,81.0149
11.2996,26,30.4836,80.8647
11.2996,27,30.0146,80.6919
11.2996,28,29.6416,80.5460
12.3002,0,36.6612,81.0652
12.3002,1,36.1761,81.1830
12.3002,2,35.6838,81.2686
12.3002,3,35.1876,81.3295
12.3002,4,34.6889,81.3637
12.3002,5,34.1894,81.3785
12.3002,6,33.6896,81.3718
12.3002,7,33.1905,81.3448
12.3002,8,32.6924,81.3020
12.3002,9,32.1969,81.2363
12.3002,10,31.7039,81.1535
12.3002,11,31.2138,81.0550
12.3002,12,30.7282,80.9361
12.3002,13,30.2466,80.8022
12.3002,14,29.7702,80.6506
12.3002,15,29.2995,80.4824
12.3002,16,28.8334,80.3016
12.3002,17,28.3750,80.1020
12.3002,18,27.9234,79.8877
12.3002,19,27.4785,79.6597
12.3002,20,27.0434,79.4136
12.3002,21,26.6158,79.1548
12.3002,22,26.1990,78.8789
12.3002,23,25.7995,78.5787
12.3002,24,25.4218,78.2518
12.3002,25,25.0738,77.8939
12.3002,26,24.7377,77.5244
12.3002,27,24.4131,77.1448
12.3002,28,24.2176,76.8892
12.3002,29,24.0964,76.7302
12.3002,30,23.9827,76.5656
12.3002,31,23.9607,76.5338
13.3498,0,28.9372,80.3045
13.3498,1,28.4568,80.1658
13.3498,2,27.9825,80.0091
13.3498,3,27.5219,79.8147
13.3498,4,27.0682,79.6051
13.3498,5,26.6356,79.3547
13.3498,6,26.2117,79.0899
13.3498,7,25.8118,78.7898
13.3498,8,25.4281,78.4697
13.3498,9,25.0686,78.1223
13.3498,10,24.7320,77.7532
13.3498,11,24.4220,77.3609
13.3498,12,24.1399,76.9486
13.3498,13,23.8864,76.5177
13.3498,14,23.6708,76.0669
13.3498,15,23.4800,75.6049
13.3498,16,23.3352,75.1263
13.3498,17,23.2176,74.6407
13.3498,18,23.1349,74.1476
13.3498,19,23.0849,73.6506
13.3498,20,23.0627,73.1511
13.3498,21,23.0689,72.6515
13.3498,22,23.1000,72.1525
13.3498,23,23.1582,71.6561
13.3498,24,23.2293,71.1612
13.3498,25,23.3234,70.6703
13.3498,26,23.4219,70.1802
13.3498,27,23.5301,69.6923
13.3498,28,23.6386,69.2045
13.3498,29,23.7449,68.7163
13.3498,30,23.8423,68.2264
13.3498,31,23.9216,67.7334
13.3498,32,23.9792,67.2381
13.3498,33,24.0075,66.7404
13.3498,34,24.0062,66.2422
13.3498,35,23.9746,65.7450
13.3498,36,23.8974,65.2526
13.3498,37,23.7938,64.7648
13.3498,38,23.6352,64.2911
13.3498,39,23.4409,63.8316
13.3498,40,23.1906,63.3990
13.3498,41,22.9088,62.9871
13.3498,42,22.5806,62.6100
13.3498,43,22.2339,62.2502
13.3498,44,21.8445,61.9372
13.3498,45,21.6819,61.8082
13.3498,46,21.5794,61.7268
14.4001,0,24.0078,76.7309
14.4001,1,23.7394,76.3094
14.4001,2,23.5013,75.8706
14.4001,3,23.3074,75.4101
14.4001,4,23.1551,74.9345
14.4001,5,23.0372,74.4491
14.4001,6,22.9700,73.9538
14.4001,7,22.9316,73.4558
14.4001,8,22.9290,72.9560
14.4001,9,22.9567,72.4571
14.4001,10,23.0076,71.9599
14.4001,11,23.0897,71.4668
14.4001,12,23.1876,70.9767
14.4001,13,23.3106,70.4921
14.4001,14,23.4480,70.0115
14.4001,15,23.6026,69.5361
14.4001,16,23.7723,69.0661
14.4001,17,23.9533,68.6002
14.4001,18,24.1498,68.1410
14.4001,19,24.3529,67.6846
14.4001,20,24.5689,67.2345
14.4001,21,24.7868,66.7855
14.4001,22,25.0076,66.3381
14.4001,23,25.2244,65.8889
14.4001,24,25.4334,65.4365
14.4001,25,25.6201,64.9745
14.4001,26,25.7676,64.4995
14.4001,27,25.8237,64.0100
14.4001,28,25.6878,63.5469
14.4001,29,25.3253,63.2195
14.4001,30,24.8602,63.0471
14.4001,31,24.3701,62.9616
14.4001,32,23.8715,62.9339
14.4001,33,23.3728,62.9594
14.4001,34,22.8766,63.0166
14.4001,35,22.3849,63.0990
14.4001,36,21.8982,63.2081
14.4001,37,21.4137,63.3248
14.4001,38,20.9315,63.4484
14.4001,39,20.4502,63.5787
14.4001,40,19.9629,63.6873
14.4001,41,19.4714,63.7790
14.4001,42,18.9801,63.8717
14.4001,43,18.4907,63.9741
14.4001,44,18.0028,64.0832
14.4001,45,17.6213,64.1730
14.4001,46,17.4257,64.2145
14.4001,47,17.2301,64.2561
14.4001,48,17.0363,64.3055
14.4001,49,16.8428,64.3562
14.4001,50,16.6494,64.4069
15.4500,0,23.2145,71.2274
15.4500,1,23.2714,70.7308
15.4500,2,23.3455,70.2365
15.4500,3,23.4483,69.7473
15.4500,4,23.5740,69.2636
15.4500,5,23.7228,68.7865
15.4500,6,23.9009,68.3194
15.4500,7,24.0995,67.8609
15.4500,8,24.3240,67.4142
15.4500,9,24.5709,66.9797
15.4500,10,24.8367,66.5565
15.4500,11,25.1261,66.1488
15.4500,12,25.4328,65.7541
15.4500,13,25.7547,65.3717
15.4500,14,26.0951,65.0056
15.4500,15,26.4482,64.6518
15.4500,16,26.8130,64.3100
15.4500,17,27.1914,63.9831
15.4500,18,27.5784,63.6667
15.4500,19,27.9744,63.3616
15.4500,20,28.3796,63.0686
15.4500,21,28.7908,62.7843
15.4500,22,29.2088,62.5101
15.4500,23,29.6326,62.2448
15.4500,24,30.0607,61.9865
15.4500,25,30.4938,61.7366
15.4500,26,30.9303,61.4929
15.4500,27,31.3703,61.2554
15.4500,28,31.8132,61.0235
15.4500,29,32.2584,60.7959
15.4500,30,32.7060,60.5730
15.4500,31,33.1552,60.3534
15.4500,32,33.6058,60.1368
15.4500,33,34.0576,59.9227
15.4500,34,34.5102,59.7102
15.4500,35,34.9634,59.4989
15.4500,36,35.4166,59.2879
15.4500,37,35.8699,59.0771
15.4500,38,36.3225,58.8648
15.4500,39,36.6348,58.7146
15.4500,40,36.8127,58.6231
15.4500,41,36.9892,58.5292
15.4500,42,37.1650,58.4337
15.4500,43,37.3388,58.3349
15.4500,44,37.5108,58.2329
15.4500,45,37.6814,58.1284
15.4500,46,37.8486,58.0186
15.4500,47,37.9147,57.9752
16.4996,0,25.5886,65.7545
16.4996,1,25.8881,65.3542
16.4996,2,26.2037,64.9667
16.4996,3,26.5361,64.5934
16.4996,4,26.8875,64.2377
16.4996,5,27.2526,63.8964
16.4996,6,27.6306,63.5693
16.4996,7,28.0218,63.2580
16.4996,8,28.4239,62.9610
16.4996,9,28.8350,62.6764
16.4996,10,29.2543,62.4041
16.4996,11,29.6816,62.1446
16.4996,12,30.1145,61.8945
16.4996,13,30.5523,61.6531
16.4996,14,30.9955,61.4215
16.4996,15,31.4418,61.1961
16.4996,16,31.8908,60.9762
16.4996,17,32.3427,60.7621
16.4996,18,32.7961,60.5514
16.4996,19,33.2506,60.3431
16.4996,20,33.7061,60.1368
16.4996,21,34.1617,59.9308
16.4996,22,34.6170,59.7243
16.4996,23,35.0716,59.5161
16.4996,24,35.5249,59.3052
16.4996,25,35.9766,59.0907
16.4996,26,36.4258,58.8711
16.4996,27,36.8719,58.6453
16.4996,28,37.3146,58.4129
16.4996,29,37.7528,58.1722
16.4996,30,38.1854,57.9215
16.4996,31,38.6123,57.6614
16.4996,32,39.0323,57.3901
16.4996,33,39.4429,57.1049
16.4996,34,39.8448,56.8076
16.4996,35,40.2363,56.4967
16.4996,36,40.6144,56.1696
16.4996,37,40.9794,55.8281
16.4996,38,41.3301,55.4720
16.4996,39,41.6639,55.0998
16.4996,40,41.9802,54.7128
16.4996,41,42.2792,54.3123
16.4996,42,42.5616,53.8997
16.4996,43,42.6102,53.8280
17.5495,0,31.7470,61.2085
17.5495,1,32.2002,60.9973
17.5495,2,32.6536,60.7864
17.5495,3,33.1067,60.5752
