t,idx,x,y
6.1010,16,49.4808,18.3459
6.1010,17,49.5017,18.8455
6.1010,18,49.5181,19.3452
6.1010,19,49.5295,19.8450
6.1010,20,49.5375,20.3450
6.1010,21,49.5419,20.8450
6.1010,22,49.5425,21.3450
6.1010,23,49.5406,21.8449
6.1010,24,49.5360,22.3449
6.1010,25,49.5289,22.8449
6.1010,26,49.5200,23.3448
6.1010,27,49.5094,23.8447
6.1010,28,49.4973,24.3445
6.1010,29,49.4843,24.8444
6.1010,30,49.4705,25.3442
6.1010,31,49.4563,25.8440
6.1010,32,49.4420,26.3438
6.1010,33,49.4279,26.8436
6.1010,34,49.4144,27.3434
6.1010,35,49.4016,27.8432
6.1010,36,49.3901,28.3431
6.1010,37,49.3801,28.8430
6.1010,38,49.3718,29.3429
6.1010,39,49.3659,29.8429
6.1010,40,49.3624,30.3429
6.1010,41,49.3615,30.8429
6.1010,42,49.3643,31.3429
6.1010,43,49.3700,31.8428
6.1010,44,49.3763,32.2560
7.1505,0,49.4511,19.6467
7.1505,1,49.4632,20.1465
7.1505,2,49.4739,20.6464
7.1505,3,49.4830,21.1463
7.1505,4,49.4904,21.6463
7.1505,5,49.4963,22.1462
7.1505,6,49.5009,22.6462
7.1505,7,49.5039,23.1462
7.1505,8,49.5054,23.6462
7.1505,9,49.5056,24.1462
7.1505,10,49.5045,24.6462
7.1505,11,49.5020,25.1462
7.1505,12,49.4983,25.6462
7.1505,13,49.4933,26.1462
7.1505,14,49.4871,26.6461
7.1505,15,49.4798,27.1461
7.1505,16,49.4713,27.6460
7.1505,17,49.4618,28.1459
7.1505,18,49.4511,28.6458
7.1505,19,49.4395,29.1457
7.1505,20,49.4270,29.6455
7.1505,21,49.4134,30.1453
7.1505,22,49.3989,30.6451
7.1505,23,49.3836,31.1449
7.1505,24,49.3674,31.6446
7.1505,25,49.3505,32.1443
7.1505,26,49.3328,32.6440
7.1505,27,49.3144,33.1437
7.1505,28,49.2952,33.6433
7.1505,29,49.2754,34.1429
7.1505,30,49.2551,34.6425
7.1505,31,49.2341,35.1421
7.1505,32,49.2125,35.6416
7.1505,33,49.1905,36.1411
7.1505,34,49.1678,36.6406
7.1505,35,49.1447,37.1401
7.1505,36,49.1211,37.6395
7.1505,37,49.0972,38.1389
7.1505,38,49.0728,38.6383
